state                     ,avg_income_per_capita ,literacy_rate ,poverty_rate ,sc_population ,sc_literacy_rate ,sc_population_share_among_sc
Andhra Pradesh            ,163746                ,0.670         ,0.0920       ,13878078      ,0.6228           ,0.0801
Arunachal Pradesh         ,190212                ,0.654         ,0.3467       ,NA            ,NA               ,NA
Assam                     ,90482                 ,0.722         ,0.3198       ,2231321       ,0.7699           ,0.0129
Bihar                     ,43605                 ,0.618         ,0.3374       ,16567325      ,0.4865           ,0.0956
Chhattisgarh              ,104788                ,0.703         ,0.3993       ,3274269       ,0.7076           ,0.0189
Delhi                     ,331112                ,0.862         ,0.0509       ,2812309       ,0.7889           ,0.0162
Goa                       ,431351                ,0.887         ,0.0693       ,25449         ,0.8373           ,0.00015
Gujarat                   ,212821                ,0.780         ,0.1663       ,4074447       ,0.7918           ,0.0235
Haryana                   ,229065                ,0.758         ,0.1168       ,5113615       ,0.6685           ,0.0295
Himachal Pradesh          ,183333                ,0.828         ,0.0806       ,1729252       ,0.7892           ,0.0099
Jammu & Kashmir           ,102803                ,0.677         ,0.1035       ,924991        ,0.7016           ,0.0053
Jharkhand                 ,71071                 ,0.664         ,0.3696       ,3985644       ,0.5589           ,0.0230
Karnataka                 ,221310                ,0.754         ,0.2091       ,10474992      ,0.6533           ,0.0604
Kerala                    ,194322                ,0.941         ,0.0705       ,3039573       ,0.8873           ,0.0175
Madhya Pradesh            ,103654                ,0.697         ,0.3165       ,11342320      ,0.6616           ,0.0654
Maharashtra               ,183704                ,0.823         ,0.1735       ,13275898      ,0.7966           ,0.0766
Manipur                   ,79797                 ,0.763         ,0.3689       ,97328         ,0.7609           ,0.00056
Meghalaya                 ,84638                 ,0.746         ,0.4080       ,17355         ,0.6857           ,0.00010
Mizoram                   ,187838                ,0.913         ,0.3259       ,1218          ,0.9243           ,0.000007
Nagaland                  ,126452                ,0.796         ,0.1471       ,NA            ,NA               ,NA
Odisha                    ,102166                ,0.729         ,0.0819       ,7188463       ,0.6902           ,0.0415
Punjab                    ,149193                ,0.758         ,0.1378       ,8860179       ,0.6481           ,0.0512
Rajasthan                 ,115122                ,0.661         ,0.2105       ,12221593      ,0.5975           ,0.0705
Sikkim                    ,412754                ,0.814         ,0.1429       ,28275         ,0.7754           ,0.00016
Tamil Nadu                ,212174                ,0.808         ,0.2043       ,14438445      ,0.7326           ,0.0833
Tripura                   ,119789                ,0.872         ,0.0569       ,654918        ,0.8945           ,0.00378
Uttarakhand               ,184002                ,0.788         ,0.3151       ,1892516       ,0.7441           ,0.0109
Uttar Pradesh             ,61374                 ,0.677         ,0.2981       ,41357608      ,0.6089           ,0.2387
West Bengal               ,106510                ,0.763         ,0.0986       ,21463270      ,0.6943           ,0.1239
Puducherry                ,203178                ,0.863         ,0.0277       ,196325        ,0.7790           ,0.00113
Andaman & Nicobar Islands ,197275                ,0.866         ,NA           ,NA            ,NA               ,NA
Chandigarh                ,291194                ,0.860         ,NA           ,199086        ,0.7645           ,0.00115
Dadra & Nagar Haveli      ,NA                    ,NA            ,NA           ,6186          ,0.8942           ,0.000036
Daman & Diu               ,NA                    ,NA            ,NA           ,6124          ,0.9256           ,0.000035
Lakshadweep               ,NA                    ,0.918         ,NA           ,NA            ,NA               ,NA
