annual_income,is_bpl,rural,household_size,age,gender,education_level,employment_status,applied_other_scheme_before,benefited_other_scheme_before,state,avg_income_per_capita,literacy_rate,poverty_rate,sc_population,sc_literacy_rate,sc_population_share_among_sc,priority_score
26272.674668082578,0,1,2,39.40018468733689,Male,Secondary,Casual Labor,1,1,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.18472269293521357
74850.41773148403,1,0,7,18.0,Female,Secondary,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,1.0
70896.25092867303,0,1,6,56.00886267786445,Female,Graduate,Salaried,0,0,Uttarakhand               ,184002.0,0.788,0.3151,1892516.0,0.7441           ,0.0109,0.86427071821194
143772.390581441,1,1,3,57.00449844948772,Male,None,Casual Labor,0,0,Kerala                    ,194322.0,0.941,0.0705,3039573.0,0.8873           ,0.0175,0.60485261319376
99985.45894832142,0,1,6,44.03780535923342,Female,Graduate,Casual Labor,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.9425394323585141
142200.2457087794,1,1,6,18.396130211478532,Female,Secondary,Self Employed,0,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.992377872460789
20000.0,0,1,6,39.741287808256104,Female,Primary,Self Employed,1,0,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.7448301005470058
53927.67409557995,1,0,1,18.0,Female,Secondary,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.6580554293543538
104830.82897542143,0,0,2,28.777189067675685,Female,Secondary,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.4953645021319896
91253.95398079272,1,1,5,34.35292609031697,Female,Secondary,Unemployed,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.7481811572097793
32139.632704340733,1,1,7,43.21139994593803,Female,Secondary,Salaried,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.9517712609820326
176747.08653514463,1,0,4,49.74985458552665,Female,Graduate,Self Employed,1,0,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.7243629194333632
102871.78247302122,1,0,3,34.64254589764199,Male,Primary,Unemployed,0,0,Jharkhand                 ,71071.0,0.664,0.3696,3985644.0,0.5589           ,0.023,0.8600761728017275
20000.0,1,1,4,28.804046879979374,Female,Secondary,Salaried,1,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,1.0
199895.80003608202,0,0,3,49.36608418053323,Male,Graduate,Salaried,0,0,Delhi                     ,331112.0,0.862,0.0509,2812309.0,0.7889           ,0.0162,0.015183960654711781
43622.662855850416,1,1,6,27.68537931080171,Male,Primary,Unemployed,0,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.7500231743664527
133138.34155731363,0,0,2,56.47556210169905,Male,Secondary,Casual Labor,0,0,Jharkhand                 ,71071.0,0.664,0.3696,3985644.0,0.5589           ,0.023,0.592560890536662
99942.56115450752,0,1,1,32.07712595743534,Male,Primary,Casual Labor,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.6934096565967095
